epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5225,1.36982,4.22715,0.93119,2e-05,0.01087,1e-05,0,1.12668,4.11916,0.84194,0.00040625,0.00040625,0.00040625
2,31.0864,1.21282,2.66267,0.88098,0.0016,0.2103,0.16394,0.11939,1.0313,3.74849,0.85596,0.00081477,0.00081477,0.00081477
3,39.7087,1.15353,2.04198,0.86547,0.94251,0.52826,0.79867,0.58141,0.97106,2.02157,0.84581,0.00121504,0.00121504,0.00121504
4,48.3292,1.1318,1.76822,0.86222,0.83194,0.74872,0.84912,0.63608,0.89156,0.99905,0.83922,0.00121287,0.00121287,0.00121287
5,56.9644,1.10453,1.56212,0.86509,0.89571,0.72574,0.81737,0.62774,0.84931,0.84702,0.83102,0.0012005,0.0012005,0.0012005
6,65.6377,1.0291,1.34981,0.85539,0.91437,0.74824,0.88067,0.66127,0.83061,0.65369,0.82622,0.00118812,0.00118812,0.00118812
7,74.3191,0.98951,1.21134,0.85331,0.93299,0.74327,0.88481,0.68563,0.79215,0.69428,0.81835,0.00117575,0.00117575,0.00117575
8,83.0197,0.96884,1.11932,0.83984,0.89079,0.85602,0.90224,0.69239,0.78202,0.61948,0.81408,0.00116337,0.00116337,0.00116337
9,91.702,0.94344,1.01496,0.84609,0.89514,0.84851,0.89415,0.69217,0.79665,0.61774,0.81904,0.001151,0.001151,0.001151
10,100.401,0.91988,0.93119,0.84198,0.9391,0.82435,0.89805,0.69181,0.81356,0.5895,0.81996,0.00113863,0.00113863,0.00113863
11,109.132,0.94881,0.89738,0.84673,0.92994,0.83078,0.89632,0.68628,0.76363,0.65482,0.81687,0.00112625,0.00112625,0.00112625
12,117.873,0.941,0.87289,0.842,0.88688,0.86829,0.90242,0.68794,0.79132,0.61315,0.81549,0.00111388,0.00111388,0.00111388
13,126.628,0.89259,0.8187,0.83574,0.9232,0.83686,0.91375,0.71659,0.72401,0.56436,0.80981,0.0011015,0.0011015,0.0011015
14,135.401,0.89403,0.79498,0.83386,0.91276,0.85101,0.91472,0.72001,0.73164,0.58922,0.81316,0.00108913,0.00108913,0.00108913
15,144.168,0.88811,0.79719,0.82246,0.9414,0.80496,0.91364,0.73863,0.68509,0.54583,0.80363,0.00107675,0.00107675,0.00107675
16,152.934,0.88228,0.73089,0.83134,0.94205,0.8359,0.90693,0.71325,0.72395,0.57527,0.80723,0.00106437,0.00106437,0.00106437
17,161.677,0.89152,0.72332,0.83146,0.90537,0.85527,0.90931,0.72854,0.72647,0.55696,0.80213,0.001052,0.001052,0.001052
18,170.443,0.83565,0.68883,0.81852,0.94367,0.84091,0.91509,0.75174,0.67095,0.50778,0.79951,0.00103962,0.00103962,0.00103962
19,179.234,0.8216,0.66879,0.82475,0.91918,0.88549,0.92223,0.73385,0.69649,0.52384,0.80092,0.00102725,0.00102725,0.00102725
20,188.036,0.83064,0.65837,0.82113,0.93544,0.85642,0.90314,0.71752,0.66151,0.54601,0.79859,0.00101488,0.00101488,0.00101488
21,196.813,0.85105,0.64719,0.82427,0.95722,0.84696,0.91222,0.72036,0.69921,0.5334,0.80145,0.0010025,0.0010025,0.0010025
