epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.64,1.23816,10.9294,0.91917,0,0,0,0,1.10254,5.20087,0.80791,6.91316e-05,6.91316e-05,6.91316e-05
2,36.967,1.20783,9.71677,0.8643,0,0,0,0,1.04606,4.8431,0.79525,0.000138744,0.000138744,0.000138744
3,47.2567,1.31025,9.83692,0.8671,0.04596,0.38438,0.0674,0.05264,1.01971,3.82483,0.80532,0.000206951,0.000206951,0.000206951
4,57.5899,1.07465,7.90852,0.86402,0.3211,0.19003,0.10913,0.08328,0.96054,3.00948,0.804,0.000206674,0.000206674,0.000206674
5,68.0365,1.18778,8.34112,0.85233,0.32714,0.32703,0.12926,0.10173,0.8803,2.5158,0.7979,0.000204565,0.000204565,0.000204565
6,78.4716,1.11345,7.71627,0.85954,0.3327,0.31133,0.13894,0.11011,0.84546,2.41207,0.79618,0.000202457,0.000202457,0.000202457
7,88.9751,1.01425,6.82655,0.83716,0.37994,0.34054,0.19433,0.14808,0.82615,2.16041,0.79758,0.000200348,0.000200348,0.000200348
8,99.4965,0.97679,6.43803,0.83278,0.41256,0.35983,0.23575,0.16491,1.00877,2.1298,0.81678,0.000198239,0.000198239,0.000198239
9,110.005,0.95083,6.47776,0.81514,0.38705,0.32431,0.20912,0.1707,0.81333,2.18033,0.79341,0.00019613,0.00019613,0.00019613
10,120.511,1.01019,6.63531,0.82201,0.4047,0.34163,0.22497,0.18382,0.78032,1.93383,0.79011,0.000194022,0.000194022,0.000194022
11,131.023,0.96734,5.83956,0.827,0.45217,0.37882,0.27218,0.21825,0.78378,1.96844,0.79453,0.000191913,0.000191913,0.000191913
12,141.489,0.87708,5.05616,0.80681,0.45295,0.3605,0.26195,0.20814,0.78594,1.86907,0.79108,0.000189804,0.000189804,0.000189804
13,151.959,0.86822,4.94262,0.82824,0.25735,0.424,0.28784,0.22649,0.84234,2.04618,0.79533,0.000187696,0.000187696,0.000187696
14,162.401,0.89444,5.10451,0.82284,0.50192,0.37016,0.308,0.2413,0.83116,1.81004,0.79214,0.000185587,0.000185587,0.000185587
15,172.957,0.87458,4.7272,0.81888,0.59899,0.30118,0.34947,0.27315,0.75802,1.75631,0.78342,0.000183478,0.000183478,0.000183478
16,183.593,0.81116,4.27927,0.81826,0.47981,0.32441,0.28017,0.22581,0.78042,1.79473,0.78753,0.000181369,0.000181369,0.000181369
17,194.147,0.84422,4.34941,0.80581,0.51552,0.35528,0.32967,0.27043,0.746,1.73797,0.78594,0.000179261,0.000179261,0.000179261
18,204.629,0.84806,4.43541,0.81534,0.36926,0.49381,0.35066,0.28229,0.72483,1.66454,0.7868,0.000177152,0.000177152,0.000177152
19,215.246,0.83867,3.98848,0.82522,0.46202,0.47701,0.40129,0.32352,0.69539,1.59851,0.78073,0.000175043,0.000175043,0.000175043
20,225.745,0.77656,3.81572,0.80695,0.56544,0.35612,0.40878,0.33293,0.70131,1.63687,0.78332,0.000172935,0.000172935,0.000172935
21,236.142,0.7832,3.57343,0.80839,0.32664,0.41384,0.38148,0.31111,0.70317,1.77756,0.78462,0.000170826,0.000170826,0.000170826
22,246.494,0.84473,4.13644,0.80713,0.45276,0.4137,0.37741,0.30238,0.74609,1.68817,0.78603,0.000168717,0.000168717,0.000168717
23,256.886,0.80133,3.5857,0.82644,0.37061,0.37671,0.33387,0.26488,0.72693,1.93153,0.78651,0.000166609,0.000166609,0.000166609
24,267.21,0.78903,3.51037,0.8124,0.37036,0.47983,0.44209,0.35634,0.70306,1.53382,0.78162,0.0001645,0.0001645,0.0001645
25,277.569,0.76785,3.10043,0.80881,0.45772,0.49712,0.4301,0.3492,0.70698,1.48719,0.78522,0.000162391,0.000162391,0.000162391
26,287.861,0.80898,3.09056,0.81394,0.37134,0.52199,0.42512,0.34851,0.69311,1.47807,0.78465,0.000160282,0.000160282,0.000160282
27,298.154,0.70857,2.74034,0.81231,0.48552,0.55678,0.40995,0.33845,0.66211,1.69478,0.77632,0.000158174,0.000158174,0.000158174
28,308.434,0.75728,3.06824,0.80586,0.48376,0.52667,0.43314,0.34957,0.73062,1.57481,0.78156,0.000156065,0.000156065,0.000156065
29,318.725,0.77717,3.1602,0.80997,0.47521,0.49565,0.41645,0.33804,0.70534,1.69574,0.78063,0.000153956,0.000153956,0.000153956
30,328.912,0.74985,2.93153,0.79836,0.56817,0.4356,0.4478,0.36784,0.6574,1.72672,0.77866,0.000151848,0.000151848,0.000151848
31,339.117,0.79173,3.20131,0.82083,0.53787,0.4738,0.45858,0.36807,0.70727,1.55484,0.78216,0.000149739,0.000149739,0.000149739
32,349.321,0.70624,2.80862,0.79637,0.51257,0.55159,0.48928,0.37097,0.76387,1.47053,0.7836,0.00014763,0.00014763,0.00014763
33,359.522,0.74277,2.78667,0.79733,0.56905,0.50919,0.50399,0.39693,0.69824,1.47873,0.7813,0.000145522,0.000145522,0.000145522
34,369.708,0.70831,2.6525,0.80189,0.60424,0.48771,0.5034,0.399,0.70755,1.37661,0.78044,0.000143413,0.000143413,0.000143413
35,379.889,0.6824,2.49127,0.7978,0.42688,0.48392,0.46308,0.36609,0.71479,1.50339,0.78096,0.000141304,0.000141304,0.000141304
36,390.024,0.70125,2.22675,0.79278,0.6053,0.42232,0.49231,0.3926,0.69026,1.44139,0.77896,0.000139196,0.000139196,0.000139196
37,400.202,0.74097,2.55559,0.80982,0.39196,0.50669,0.45522,0.36937,0.67898,1.62747,0.77735,0.000137087,0.000137087,0.000137087
38,410.355,0.66963,2.52872,0.79945,0.44948,0.55575,0.49857,0.41193,0.65069,1.46999,0.77661,0.000134978,0.000134978,0.000134978
39,420.531,0.66879,2.0585,0.79868,0.56005,0.51547,0.51817,0.4219,0.65754,1.4439,0.77702,0.000132869,0.000132869,0.000132869
40,430.7,0.67426,2.29817,0.78906,0.45519,0.52923,0.47969,0.39222,0.66959,1.59464,0.77785,0.000130761,0.000130761,0.000130761
41,440.886,0.69793,2.23268,0.8039,0.66155,0.38184,0.4815,0.40251,0.63758,1.53854,0.77654,0.000128652,0.000128652,0.000128652
42,451.016,0.66888,2.14141,0.79412,0.51709,0.41147,0.49059,0.39711,0.71544,1.53608,0.78062,0.000126543,0.000126543,0.000126543
43,461.213,0.69078,2.14344,0.81706,0.38896,0.5108,0.45553,0.36835,0.64517,1.73864,0.77863,0.000124435,0.000124435,0.000124435
44,471.377,0.69972,2.14362,0.79325,0.38007,0.5358,0.48266,0.39172,0.68113,1.46692,0.78063,0.000122326,0.000122326,0.000122326
45,481.512,0.65721,2.03435,0.79878,0.40338,0.52644,0.42878,0.3546,0.64353,1.60942,0.77662,0.000120217,0.000120217,0.000120217
46,491.694,0.67598,2.01018,0.78846,0.37816,0.54022,0.47397,0.38579,0.67199,1.41759,0.7801,0.000118108,0.000118108,0.000118108
47,501.912,0.67874,2.05556,0.79462,0.39367,0.5571,0.47669,0.39725,0.62018,1.51292,0.7741,0.000116,0.000116,0.000116
48,512.174,0.65425,1.95238,0.78319,0.45176,0.4613,0.48944,0.39606,0.64846,1.42134,0.77593,0.000113891,0.000113891,0.000113891
49,522.55,0.67337,2.02202,0.78907,0.4822,0.4804,0.53445,0.43965,0.64206,1.42313,0.7749,0.000111782,0.000111782,0.000111782
50,532.942,0.66293,1.92376,0.81391,0.44198,0.52056,0.52328,0.42912,0.6411,1.48753,0.77554,0.000109674,0.000109674,0.000109674
51,543.262,0.64465,1.88758,0.7945,0.46034,0.48051,0.52296,0.42986,0.61812,1.44542,0.77328,0.000107565,0.000107565,0.000107565
52,553.551,0.65431,1.79848,0.79845,0.45686,0.56145,0.50962,0.42026,0.6312,1.59114,0.77151,0.000105456,0.000105456,0.000105456
53,563.717,0.65106,1.72526,0.78384,0.44108,0.49805,0.51793,0.42241,0.65206,1.38976,0.77665,0.000103348,0.000103348,0.000103348
54,573.857,0.66728,1.7984,0.79682,0.44846,0.56357,0.46892,0.37744,0.64676,1.62775,0.77629,0.000101239,0.000101239,0.000101239
55,584.017,0.66096,1.82801,0.80264,0.41815,0.64288,0.47483,0.37947,0.65628,1.58074,0.77796,9.91302e-05,9.91302e-05,9.91302e-05
56,594.158,0.6641,1.7173,0.7947,0.44457,0.56114,0.49479,0.40263,0.64064,1.59039,0.77288,9.70215e-05,9.70215e-05,9.70215e-05
57,604.311,0.60993,1.6196,0.78885,0.42203,0.52665,0.49479,0.40267,0.62128,1.67251,0.77162,9.49128e-05,9.49128e-05,9.49128e-05
58,614.486,0.64501,1.67716,0.80561,0.41715,0.60555,0.49581,0.40373,0.64589,1.53648,0.77399,9.28041e-05,9.28041e-05,9.28041e-05
59,624.667,0.65803,1.78344,0.8082,0.489,0.5565,0.50325,0.40557,0.61203,1.53631,0.76935,9.06954e-05,9.06954e-05,9.06954e-05
60,634.822,0.65436,1.67545,0.78977,0.50622,0.52257,0.50151,0.40511,0.6149,1.61773,0.76847,8.85867e-05,8.85867e-05,8.85867e-05
61,644.974,0.63888,1.61924,0.77895,0.49604,0.50681,0.53731,0.43217,0.61625,1.52978,0.76905,8.6478e-05,8.6478e-05,8.6478e-05
62,655.118,0.63636,1.50021,0.79197,0.43539,0.60801,0.52956,0.42133,0.61528,1.50436,0.76994,8.43693e-05,8.43693e-05,8.43693e-05
63,665.27,0.63567,1.60266,0.80301,0.5342,0.52863,0.52367,0.41614,0.60555,1.50194,0.76859,8.22606e-05,8.22606e-05,8.22606e-05
64,675.409,0.64751,1.69553,0.80575,0.51825,0.53275,0.52544,0.41874,0.61487,1.49667,0.77169,8.01519e-05,8.01519e-05,8.01519e-05
65,685.556,0.6385,1.64292,0.78836,0.49287,0.57813,0.53653,0.42969,0.61922,1.53078,0.77044,7.80432e-05,7.80432e-05,7.80432e-05
66,695.692,0.62098,1.51108,0.80516,0.49495,0.52962,0.51813,0.41812,0.61557,1.51153,0.77143,7.59345e-05,7.59345e-05,7.59345e-05
67,705.835,0.5971,1.40413,0.80083,0.46834,0.53239,0.52058,0.41994,0.64545,1.53811,0.77185,7.38258e-05,7.38258e-05,7.38258e-05
68,715.966,0.63145,1.4674,0.78069,0.47826,0.54884,0.51925,0.41452,0.6073,1.59691,0.7711,7.17171e-05,7.17171e-05,7.17171e-05
69,726.155,0.6078,1.40695,0.78316,0.51653,0.54011,0.50799,0.40408,0.64099,1.59272,0.77415,6.96084e-05,6.96084e-05,6.96084e-05
70,736.337,0.57899,1.36355,0.78915,0.47542,0.59077,0.49813,0.40581,0.62901,1.56674,0.77248,6.74997e-05,6.74997e-05,6.74997e-05
71,746.487,0.61339,1.51642,0.78886,0.45882,0.60975,0.5195,0.4294,0.62612,1.56042,0.77522,6.5391e-05,6.5391e-05,6.5391e-05
72,756.643,0.57881,1.34287,0.77758,0.51487,0.50622,0.52059,0.42667,0.60719,1.52212,0.77342,6.32823e-05,6.32823e-05,6.32823e-05
73,766.826,0.60142,1.46872,0.7802,0.44968,0.62372,0.5192,0.42231,0.59994,1.46211,0.77319,6.11736e-05,6.11736e-05,6.11736e-05
74,776.99,0.61324,1.50023,0.78538,0.4491,0.5862,0.52769,0.43125,0.61415,1.478,0.7728,5.90649e-05,5.90649e-05,5.90649e-05
75,787.159,0.58676,1.34378,0.77571,0.44702,0.59477,0.59184,0.45522,0.61035,1.43658,0.77071,5.69562e-05,5.69562e-05,5.69562e-05
76,797.377,0.60361,1.3158,0.79004,0.49342,0.6138,0.60514,0.46932,0.62505,1.40535,0.77352,5.48475e-05,5.48475e-05,5.48475e-05
77,807.575,0.56693,1.42818,0.78836,0.48126,0.61279,0.59179,0.45781,0.60767,1.44238,0.77221,5.27388e-05,5.27388e-05,5.27388e-05
78,817.754,0.55142,1.33867,0.77658,0.47307,0.59744,0.58381,0.45199,0.58588,1.46764,0.77204,5.06301e-05,5.06301e-05,5.06301e-05
79,827.935,0.55483,1.22692,0.80167,0.53042,0.53939,0.58608,0.45062,0.61045,1.48834,0.77279,4.85214e-05,4.85214e-05,4.85214e-05
80,838.108,0.5899,1.35951,0.7976,0.47816,0.60338,0.53645,0.43375,0.58444,1.44298,0.77086,4.64127e-05,4.64127e-05,4.64127e-05
81,848.318,0.59685,1.33376,0.79162,0.46182,0.58574,0.53889,0.42701,0.62658,1.39431,0.77451,4.4304e-05,4.4304e-05,4.4304e-05
82,858.482,0.57438,1.34694,0.77666,0.53465,0.53507,0.58966,0.46336,0.58791,1.46078,0.77101,4.21953e-05,4.21953e-05,4.21953e-05
83,868.629,0.56419,1.219,0.776,0.60755,0.4609,0.58143,0.45611,0.62304,1.52999,0.77106,4.00866e-05,4.00866e-05,4.00866e-05
84,878.739,0.54752,1.12785,0.80024,0.63074,0.4537,0.56042,0.43102,0.59731,1.5543,0.77078,3.79779e-05,3.79779e-05,3.79779e-05
85,888.893,0.54157,1.21649,0.78299,0.61914,0.46857,0.58231,0.44857,0.60895,1.45639,0.77366,3.58692e-05,3.58692e-05,3.58692e-05
86,899.02,0.56067,1.25268,0.78398,0.49587,0.57535,0.582,0.45959,0.61477,1.43914,0.77307,3.37605e-05,3.37605e-05,3.37605e-05
87,909.195,0.56178,1.24443,0.78725,0.57281,0.48315,0.57578,0.45873,0.59016,1.46864,0.77268,3.16518e-05,3.16518e-05,3.16518e-05
88,919.333,0.55813,1.75225,0.78619,0.6062,0.47186,0.57189,0.46084,0.60466,1.50613,0.77415,2.95431e-05,2.95431e-05,2.95431e-05
89,929.566,0.54514,1.29296,0.78373,0.61813,0.45651,0.58157,0.47169,0.60257,1.48175,0.77422,2.74344e-05,2.74344e-05,2.74344e-05
90,939.874,0.57656,1.28354,0.79192,0.53007,0.54216,0.58232,0.4555,0.61872,1.4621,0.77402,2.53257e-05,2.53257e-05,2.53257e-05
91,951.171,0.58494,1.79673,0.78219,0.58493,0.44395,0.55267,0.42447,0.60057,1.62363,0.77,2.3217e-05,2.3217e-05,2.3217e-05
92,961.32,0.55766,1.73766,0.77909,0.52392,0.47881,0.54032,0.41258,0.60991,1.74184,0.76917,2.11083e-05,2.11083e-05,2.11083e-05
93,971.479,0.55178,2.41205,0.74783,0.48114,0.50064,0.54104,0.40895,0.64566,1.66041,0.77098,1.89996e-05,1.89996e-05,1.89996e-05
94,981.739,0.57002,2.40337,0.78211,0.49611,0.5156,0.54652,0.4142,0.62432,1.62437,0.77013,1.68909e-05,1.68909e-05,1.68909e-05
95,991.965,0.51421,2.3809,0.76273,0.52694,0.49407,0.54912,0.41908,0.6048,1.61623,0.77068,1.47822e-05,1.47822e-05,1.47822e-05
96,1002.26,0.52797,2.02532,0.78145,0.55641,0.4502,0.53842,0.41382,0.60197,1.64234,0.77025,1.26735e-05,1.26735e-05,1.26735e-05
97,1012.56,0.53659,1.62885,0.7956,0.54257,0.41884,0.53725,0.40764,0.61855,1.68596,0.77032,1.05648e-05,1.05648e-05,1.05648e-05
98,1022.95,0.55277,1.77449,0.79879,0.54048,0.40803,0.53598,0.40694,0.62325,1.70699,0.76992,8.4561e-06,8.4561e-06,8.4561e-06
99,1033.4,0.52494,1.57325,0.78984,0.55005,0.40719,0.53777,0.40752,0.61306,1.70387,0.77011,6.3474e-06,6.3474e-06,6.3474e-06
100,1043.86,0.5532,1.78484,0.77719,0.39742,0.64229,0.5387,0.41049,0.6135,1.68112,0.76943,4.2387e-06,4.2387e-06,4.2387e-06
